1132609175 R37-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52699, Connection reset by peer
1132609220 R42-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53297, Connection reset by peer
1132609220 R73-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53171, Connection reset by peer
1132609220 R73-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53170, Connection reset by peer
1132609221 R65-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53243, Connection reset by peer
1132609221 R65-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53242, Connection reset by peer
1132609221 R73-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53205, Connection reset by peer
1132609221 R73-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53204, Connection reset by peer
1132609222 R73-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53201, Connection reset by peer
1132609222 R74-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53219, Connection reset by peer
1132609222 R74-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53218, Connection reset by peer
1132609222 R76-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53427, Connection reset by peer
1132609222 R76-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53444, Connection reset by peer
1132609223 R76-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53439, Connection reset by peer
1132609223 R76-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53438, Connection reset by peer
1132609223 R72-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53139, Connection reset by peer
1132609223 R70-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52741, Connection reset by peer
1132609223 R24-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52965, Connection reset by peer
1132609223 R24-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52964, Connection reset by peer
1132609224 R70-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52725, Connection reset by peer
1132609224 R46-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53523, Connection reset by peer
1132609224 R46-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53522, Connection reset by peer
1132609224 R60-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52716, Connection reset by peer
1132609224 R72-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53137, Connection reset by peer
1132609225 R46-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53526, Connection reset by peer
1132609225 R60-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52714, Connection reset by peer
1132609225 R73-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53167, Connection reset by peer
1132609226 R71-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53125, Connection reset by peer
1132609226 R71-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53124, Connection reset by peer
1132609226 R73-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53198, Connection reset by peer
1132609226 R76-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53441, Connection reset by peer
1132609226 R76-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53440, Connection reset by peer
1132609227 R73-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53168, Connection reset by peer
1132609227 R72-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53141, Connection reset by peer
1132609227 R72-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53140, Connection reset by peer
1132609227 R61-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53110, Connection reset by peer
1132609228 R61-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52747, Connection reset by peer
1132609228 R61-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52746, Connection reset by peer
1132609228 R61-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53116, Connection reset by peer
1132609228 R50-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53185, Connection reset by peer
1132609228 R71-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53120, Connection reset by peer
1132609229 R50-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53183, Connection reset by peer
1132609229 R50-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53186, Connection reset by peer
1132609229 R46-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53533, Connection reset by peer
1132609229 R71-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53118, Connection reset by peer
1132609229 R32-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53063, Connection reset by peer
1132609230 R32-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53062, Connection reset by peer
1132609230 R32-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53056, Connection reset by peer
1132609230 R50-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53225, Connection reset by peer
1132609230 R60-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52711, Connection reset by peer
1132609230 R62-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53133, Connection reset by peer
1132609231 R62-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53132, Connection reset by peer
1132609231 R62-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53131, Connection reset by peer
1132609231 R62-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53130, Connection reset by peer
1132609231 R62-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53129, Connection reset by peer
1132609232 R62-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53128, Connection reset by peer
1132609232 R62-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53145, Connection reset by peer
1132609232 R71-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52756, Connection reset by peer
1132609232 R46-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53521, Connection reset by peer
1132609232 R46-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53520, Connection reset by peer
1132609233 R62-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53147, Connection reset by peer
1132609233 R35-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52669, Connection reset by peer
1132609233 R35-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52668, Connection reset by peer
1132609233 R75-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53394, Connection reset by peer
1132609233 R75-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53393, Connection reset by peer
1132609234 R75-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53392, Connection reset by peer
1132609234 R35-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52673, Connection reset by peer
1132609234 R35-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52672, Connection reset by peer
1132609235 R35-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52677, Connection reset by peer
1132609235 R35-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52676, Connection reset by peer
1132609235 R35-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52667, Connection reset by peer
1132609236 R17-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52909, Connection reset by peer
1132609236 R17-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52908, Connection reset by peer
1132609236 R16-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52880, Connection reset by peer
1132609236 R16-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52890, Connection reset by peer
1132609236 R12-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52823, Connection reset by peer
1132609237 R12-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52822, Connection reset by peer
1132609237 R57-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53369, Connection reset by peer
1132609237 R57-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53368, Connection reset by peer
1132609237 R13-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52841, Connection reset by peer
1132609237 R10-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52782, Connection reset by peer
1132609237 R10-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52785, Connection reset by peer
1132609238 R10-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52784, Connection reset by peer
1132609238 R75-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53397, Connection reset by peer
1132609238 R75-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53396, Connection reset by peer
1132609238 R15-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52867, Connection reset by peer
1132609239 R15-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52871, Connection reset by peer
1132609239 R15-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52873, Connection reset by peer
1132609239 R16-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52887, Connection reset by peer
1132609239 R16-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52886, Connection reset by peer
1132609239 R07-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52648, Connection reset by peer
1132609240 R16-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52884, Connection reset by peer
1132609240 R00-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52527, Connection reset by peer
1132609240 R00-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52526, Connection reset by peer
1132609240 R14-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52855, Connection reset by peer
1132609240 R00-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52537, Connection reset by peer
1132609241 R14-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52853, Connection reset by peer
1132609241 R14-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52852, Connection reset by peer
1132609241 R14-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52860, Connection reset by peer
1132609241 R05-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52609, Connection reset by peer
1132609241 R05-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52608, Connection reset by peer
1132609242 R00-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52541, Connection reset by peer
1132609242 R14-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52850, Connection reset by peer
1132609242 R12-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52817, Connection reset by peer
1132609242 R00-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52529, Connection reset by peer
1132609242 R00-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52528, Connection reset by peer
1132609243 R54-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53325, Connection reset by peer
1132609243 R46-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53529, Connection reset by peer
1132609243 R46-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53528, Connection reset by peer
1132609243 R14-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52856, Connection reset by peer
1132609243 R15-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52864, Connection reset by peer
1132609243 R71-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52755, Connection reset by peer
1132609244 R02-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52569, Connection reset by peer
1132609244 R02-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52568, Connection reset by peer
1132609244 R54-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53319, Connection reset by peer
1132609244 R54-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53318, Connection reset by peer
1132609245 R03-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52579, Connection reset by peer
1132609245 R03-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52578, Connection reset by peer
1132609245 R11-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52799, Connection reset by peer
1132609245 R11-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52798, Connection reset by peer
1132609245 R15-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52869, Connection reset by peer
1132609246 R12-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52827, Connection reset by peer
1132609246 R03-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52581, Connection reset by peer
1132609247 R03-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52580, Connection reset by peer
1132609247 R06-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52623, Connection reset by peer
1132609247 R06-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52622, Connection reset by peer
1132609247 R11-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52811, Connection reset by peer
1132609247 R14-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52847, Connection reset by peer
1132609248 R14-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52846, Connection reset by peer
1132609248 R02-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52561, Connection reset by peer
1132609248 R02-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52560, Connection reset by peer
1132609248 R04-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52597, Connection reset by peer
1132609249 R16-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52883, Connection reset by peer
1132609249 R02-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52563, Connection reset by peer
1132609249 R01-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52547, Connection reset by peer
1132609249 R00-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52533, Connection reset by peer
1132609249 R11-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52801, Connection reset by peer
1132609249 R04-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52603, Connection reset by peer
1132609250 R04-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52602, Connection reset by peer
1132609250 R01-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52543, Connection reset by peer
1132609250 R01-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52542, Connection reset by peer
1132609250 R01-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52557, Connection reset by peer
1132609251 R01-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52556, Connection reset by peer
1132609251 R03-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52577, Connection reset by peer
1132609251 R01-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52550, Connection reset by peer
1132609251 R01-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52555, Connection reset by peer
1132609252 R01-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52554, Connection reset by peer
1132609252 R17-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52903, Connection reset by peer
1132609252 R17-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52902, Connection reset by peer
1132609252 R17-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52899, Connection reset by peer
1132609252 R07-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52644, Connection reset by peer
1132609252 R07-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52643, Connection reset by peer
1132609253 R07-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52642, Connection reset by peer
1132609253 R17-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52906, Connection reset by peer
1132609253 R71-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52753, Connection reset by peer
1132609253 R02-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52565, Connection reset by peer
1132609254 R02-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52564, Connection reset by peer
1132609254 R07-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52651, Connection reset by peer
1132609254 R07-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52653, Connection reset by peer
1132609254 R07-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52639, Connection reset by peer
1132609254 R02-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52570, Connection reset by peer
1132609254 R02-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52571, Connection reset by peer
1132609255 R01-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52552, Connection reset by peer
1132609255 R02-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52559, Connection reset by peer
1132609255 R02-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52558, Connection reset by peer
1132609255 R05-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52619, Connection reset by peer
1132609256 R05-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52618, Connection reset by peer
1132609256 R05-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52611, Connection reset by peer
1132609256 R01-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52545, Connection reset by peer
1132609256 R01-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52544, Connection reset by peer
1132609257 R01-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52548, Connection reset by peer
1132609257 R05-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52607, Connection reset by peer
1132609257 R05-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52615, Connection reset by peer
1132609257 R05-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52614, Connection reset by peer
1132609257 R04-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52591, Connection reset by peer
1132609257 R04-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52590, Connection reset by peer
1132609258 R13-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52839, Connection reset by peer
1132609258 R06-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52637, Connection reset by peer
1132609258 R06-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52624, Connection reset by peer
1132609258 R75-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53410, Connection reset by peer
1132609258 R13-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52835, Connection reset by peer
1132609259 R17-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52897, Connection reset by peer
1132609259 R06-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52627, Connection reset by peer
1132609259 R06-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52626, Connection reset by peer
1132609260 R13-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52836, Connection reset by peer
1132609261 R77-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53453, Connection reset by peer
1132609261 R77-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53452, Connection reset by peer
1132609261 R77-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53451, Connection reset by peer
1132609261 R77-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53450, Connection reset by peer
1132609262 R77-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53463, Connection reset by peer
1132609262 R77-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53449, Connection reset by peer
1132609262 R77-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53448, Connection reset by peer
1132609263 R77-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53467, Connection reset by peer
1132609263 R77-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53447, Connection reset by peer
1132609263 R77-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53446, Connection reset by peer
1132609263 R77-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53468, Connection reset by peer
1132609264 R77-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53465, Connection reset by peer
1132609264 R41-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53289, Connection reset by peer
1132609264 R41-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53285, Connection reset by peer
1132609264 R41-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53284, Connection reset by peer
1132609265 R41-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53286, Connection reset by peer
1132609265 R54-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53330, Connection reset by peer
1132609265 R54-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53328, Connection reset by peer
1132609266 R41-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53280, Connection reset by peer
1132609266 R53-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53307, Connection reset by peer
1132609267 R53-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53306, Connection reset by peer
1132609267 R54-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53321, Connection reset by peer
1132609267 R54-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53320, Connection reset by peer
1132609267 R54-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53323, Connection reset by peer
1132609268 R54-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53322, Connection reset by peer
1132609268 R56-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53354, Connection reset by peer
1132609268 R55-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53347, Connection reset by peer
1132609268 R55-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53346, Connection reset by peer
1132609268 R56-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53363, Connection reset by peer
1132609269 R56-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53362, Connection reset by peer
1132609269 R56-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53359, Connection reset by peer
1132609269 R56-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53352, Connection reset by peer
1132609269 R56-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53351, Connection reset by peer
1132609270 R56-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53350, Connection reset by peer
1132609270 R55-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53339, Connection reset by peer
1132609270 R55-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53338, Connection reset by peer
1132609270 R51-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53276, Connection reset by peer
1132609271 R54-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53333, Connection reset by peer
1132609271 R54-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53332, Connection reset by peer
1132609271 R54-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53327, Connection reset by peer
1132609271 R54-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53326, Connection reset by peer
1132609272 R53-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53304, Connection reset by peer
1132609272 R53-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53309, Connection reset by peer
1132609272 R56-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53357, Connection reset by peer
1132609272 R51-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53271, Connection reset by peer
